rainfall,temperature,soil_type,land_hectares,yield_tons,crop
419.02,33.59,Sandy,7.81,28.09,Peanut
753.81,31.39,Clay,2.67,24.24,Lentils
825.97,36.15,Loamy,5.23,35.95,Tomato
682.27,39.66,Loamy,5.27,30.9,Potato
411.2,32.26,Red,1.52,18.24,Groundnut
255.87,28.34,Clay,7.84,22.86,Lentils
1185.57,36.87,Clay,6.63,35.53,Mustard
743.43,20.87,Clay,2.67,15.81,Wheat
788.14,37.58,Red,9.68,35.07,Millet
1072.51,38.98,Sandy,8.77,37.84,Maize
294.49,35.2,Clay,3.38,23.39,Mustard
459.41,33.89,Clay,8.89,32.1,Mustard
673.06,29.12,Black,5.63,28.63,Chickpeas
633.45,17.24,Clay,8.68,28.28,Barley
419.7,31.61,Black,2.9,22.85,Chickpeas
853.73,30.46,Loamy,3.26,25.63,Rice
479.84,35.54,Clay,2.72,15.67,Mustard
776.53,33.39,Black,2.02,22.15,Sunflower
797.81,23.39,Black,9.78,36.36,Sunflower
663.91,17.89,Black,8.15,30.35,Chickpeas
531.69,15.31,Clay,7.68,28.08,Wheat
1051.99,27.28,Black,6.34,28.97,Soybean
459.98,27.43,Red,1.18,19.16,Sorghum
474.25,31.05,Red,8.07,31.38,Millet
1041.19,39.86,Loamy,8.92,41.39,Potato
770.99,25.18,Sandy,0.55,15.65,Maize
758.48,25.68,Sandy,8.1,33.38,Cucumber
875.14,15.41,Clay,2.12,11.76,Barley
303.65,34.7,Loamy,5.81,27.85,Rice
640.05,39.18,Loamy,3.6,27.71,Tomato
341.65,18.16,Loamy,8.76,25.69,Potato
1187.46,37.98,Sandy,2.99,27.74,Watermelon
1147.03,28.8,Black,7.88,36.72,Soybean
471.9,31.07,Sandy,6.34,27.46,Peanut
1087.85,28.01,Loamy,8.29,37.98,Tomato
698.83,21.8,Clay,4.23,25.71,Lentils
309.39,31.89,Loamy,8.87,32.27,Rice
631.22,28.66,Red,5.95,27.14,Pulses
543.88,28.49,Sandy,6.21,24.85,Cucumber
947.1,21.13,Sandy,2.37,17.26,Watermelon
839.43,33.7,Red,4.14,18.93,Pulses
537.25,32.42,Clay,8.24,29.15,Mustard
970.81,21.11,Black,8.61,30.92,Sunflower
682.55,35.95,Red,4.46,30.08,Millet
307.89,23.02,Loamy,1.44,12.4,Rice
1127.69,18.66,Clay,7.22,33.41,Lentils
247.65,16.95,Red,3.82,24.84,Pulses
655.17,38.72,Black,0.78,23.47,Cotton
814.69,34.26,Red,7.08,33.44,Pulses
647.56,28.39,Loamy,9.66,33.75,Rice
446.53,24.13,Sandy,1.35,13.5,Maize
719.13,35.68,Black,1.05,18.02,Soybean
962.62,21.65,Sandy,4.91,28.27,Maize
281.35,26.18,Sandy,7.55,23.1,Maize
913.14,29.24,Sandy,7.79,27.12,Peanut
642.28,15.32,Loamy,2.77,15.9,Sugarcane
975.17,23.52,Clay,6.77,33.45,Lentils
1142.38,36.32,Clay,9.06,39.28,Lentils
684.97,26.89,Red,0.8,18.09,Millet
828.5,37.26,Clay,6.93,28.49,Mustard
890.38,37.9,Loamy,2.76,21.17,Potato
446.45,29.27,Black,9.53,37.23,Soybean
1138.22,37.79,Clay,3.16,28.66,Wheat
